Food,Warli,Madia,Gond,Kabui,Purigpa,Boto,Brokpa,Balti,Sumbyfood,Sumbygroup
Fish,8,8,8,30,1,0,0,1,56,56
Toddy,30,4,4,0,0,0,0,0,38,136
Rice liquor,0,4,4,30,0,0,0,0,38,
Mahua,0,30,30,0,0,0,0,0,60,
Fermented foods ,0,4,4,30,30,30,30,30,158,158
Tea without milk,30,30,30,30,4,60,8,0,192,192
Pods and seeds,4,8,0,0,4,30,4,4,54,442
Berries,30,8,8,0,8,0,0,0,54,
Roots and tubers,4,4,4,4,4,30,4,4,58,
Tropical fruit,30,8,8,2,8,0,4,0,60,
Stem,8,30,30,8,8,8,8,8,108,
Greens,8,30,30,8,8,8,8,8,108,
Curd,1,0,0,0,30,8,8,8,55,573
Tea with milk,0,0,0,0,30,0,30,30,90,
Milk,8,0,0,0,30,30,60,60,188,
Butter,0,0,0,0,60,60,60,60,240,
Masala,8,8,8,0,0,30,0,0,54,714
Turmeric,30,30,30,30,60,30,60,60,330,
Chili,30,30,30,30,60,30,60,60,330,
Wheat,8,0,0,0,30,30,30,60,158,728
Barley,0,0,0,0,30,60,30,60,180,
Rice,60,60,60,60,30,30,30,60,390,