Genus,Tandon_1,Tandon_10,Tandon_11,Tandon_12,Tandon_13,Tandon_14,Tandon_15,Tandon_16,Tandon_17,Tandon_18,Tandon_19,Tandon_2,Tandon_20,Tandon_21,Tandon_22,Tandon_23,Tandon_24,Tandon_25,Tandon_26,Tandon_27,Tandon_28,Tandon_29,Tandon_3,Tandon_30,Tandon_31,Tandon_32,Tandon_33,Tandon_34,Tandon_35,Tandon_36,Tandon_37,Tandon_38,Tandon_39,Tandon_4,Tandon_40,Tandon_41,Tandon_42,Tandon_43,Tandon_44,Tandon_45,Tandon_46,Tandon_47,Tandon_48,Tandon_49,Tandon_5,Tandon_50,Tandon_51,Tandon_52,Tandon_53,Tandon_54,Tandon_55,Tandon_56,Tandon_57,Tandon_58,Tandon_59,Tandon_6,Tandon_60,Tandon_61,Tandon_62,Tandon_63,Tandon_64,Tandon_65,Tandon_66,Tandon_67,Tandon_68,Tandon_69,Tandon_7,Tandon_70,Tandon_71,Tandon_72,Tandon_73,Tandon_74,Tandon_75,Tandon_76,Tandon_77,Tandon_78,Tandon_79,Tandon_8,Tandon_80,Tandon_9
Acinetobacter,0.00072,0,0,0.00124,0.00285,0.00227,0.0354,0.01045,0.00283,0.00062,0.00142,0,0.00112,0.00239,0,0.00161,0.01971,0,0.00347,0.00132,0.02079,0.00029,0.00153,0.00036,0.00144,0.00198,0,0.00161,0.00246,0,0.00106,0.00374,0,0.00291,0.00125,0,0.00219,0.0038,0,0.00475,0,0.00108,0,0.00104,0.01611,0.0008,0.00482,0.00033,0.00652,0,0.00121,0,0,0.00097,0.00257,0.00042,0.08299,0,0.0057,0.00382,0.0052,0.01637,0.00077,0.00061,0.00537,0,0,0.00075,0.00183,0,0.00288,0,0,0.00645,0,0.00082,0.00157,0,0.00353,0
Actinomyces,0,0,0.00228,0.00436,0.00047,0.00417,0.00151,0.00174,0.00071,0.00154,0.00332,0,0.00112,0.00477,0,0.00535,0.00104,0.00376,0.00347,0.00132,0.00347,0.00174,0.01381,0.00181,0.00289,0.00791,0.00872,0.00081,0.00123,0.00191,0.00422,0.00374,0.00116,0.00291,0.00031,0,0,0.00127,0.00111,0.01045,0.00111,0,0.00083,0.00209,0.00146,0.00239,0.00193,0.00033,0,0.00852,0.00243,0,0.00114,0.00146,0.02145,0,0.04453,0.00049,0.00228,0,0.00624,0.00546,0.00386,0,0.00376,0.00069,0.00068,0.00075,0.00092,0.00519,0.0046,0.00109,0.00145,0.00645,0.014,0.00245,0.00626,0.00194,0.00235,0.00768
Akkermansia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0.00644,0.23347,0.44199,0.19537,0.08489,0,0.05573,0.00523,0.33444,0.11416,0.27021,0.0288,0.04191,0.04055,0.2057,0.04123,0.00104,0,0.11987,0.11603,1.28444,0.00869,0.00307,0,0.01878,0.01285,0.91012,0.04279,0,0.08517,0.00739,0.43601,0.57388,0.0097,0.01904,0.0067,0.01021,0.21495,3.46668,0.0038,0.05124,0.21472,0,0.00627,0.02344,0.01116,0.00193,0.89188,0.21197,0.00061,0.00728,0.14642,0,0,0.06777,0,0.03239,0.09139,0.01825,3.25694,2.69982,6.43665,0.16686,0.00368,0.1106,0.01306,0.85638,0.36993,0,0.04797,0.01669,0.15748,0.15032,0.07463,0.0154,0.0743,0.24119,0.00194,0.01176,0
Allisonella,0.01859,0.01222,0.00457,0.02302,0,0.00379,0,0.01394,0.00779,0.00987,0.00142,0.00432,0.00187,0.00358,0,0.01606,0,0,0,0,0,0.00695,0.00153,0,0.00144,0.00395,0,0.00807,0,0.00763,0.01478,0.00374,0.00233,0,0.00562,0.03605,0.00073,0.00063,0,0.00048,0.00668,0,0.00166,0.01202,0.00732,0.01355,0.01253,0.00428,0.00326,0.02374,0,0.00339,0.00114,0.03992,0.01201,0,0.00607,0.02015,0.0057,0,0,0.00327,0,0.0043,0.00322,0.00179,0,0.00598,0.00275,0.00259,0,0,0.00073,0.01566,0.0042,0,0.00157,0.00778,0.00353,0
Alloprevotella,9.60152,0.00489,8.48566,0.73917,4.71631,7.86255,8.28513,1.22147,0.00567,8.94946,0.00522,3.03375,1.68873,7.71157,0.01286,9.9781,4.78201,3.95389,4.96971,7.94304,0.02195,4.94463,0.1013,0.00651,0.01589,10.4837,1.28847,6.4787,0.00614,5.67911,6.52692,3.04646,1.49,1.68092,6.52368,0.20773,6.02305,3.88993,0.00666,0.0114,0.01225,3.09671,5.15178,3.25943,6.13181,3.42295,9.04866,0.00296,2.43278,4.73736,3.75253,2.39605,4.00169,5.25004,4.16145,0.00296,6.23419,2.62379,6.53567,0.01146,0.01351,0.05892,6.33893,5.0535,10.2137,2.8271,0.00068,3.42805,5.91957,5.99546,0.00518,0.2745,0.09731,3.56205,0.16238,4.42724,3.35792,4.40649,0.01411,0.01151
Anaerostipes,0,0.00122,0.02284,0.00933,0.00617,0.00038,0.03163,0,0,0,0.00142,0.00864,0.00037,0.03339,0,0.07495,0.00207,0.00251,0.00043,0,0,0.02287,0.67227,0.00326,0.00867,0.04941,0.00349,0.00081,0.00368,0.01144,0,0.10666,0.06053,0.00776,0.00031,0,0.00802,0.01078,0.00666,0.00285,0.00111,0.00539,0.00083,0.0047,0.00293,0.00159,0,0,0.06033,0,0,0.00085,0.06835,0,0.04461,0.00042,0.00405,0,0.00228,0,0.00658,0.02728,0.00077,0,0.00161,0.00014,0.00068,0.0553,0,0.00259,0.00173,0.00109,0,0.00645,0.007,0.00817,0,0,0.00118,0.00256
Bacteroides,0.12014,27.6687,0.78118,18.5646,2.59314,0.16564,0.70191,0.0453,9.94112,4.31908,1.18864,0.27213,0.17063,0.33155,2.32953,0.39994,0.03319,0.04014,0.52594,0.49314,3.64308,0.14389,0.94395,62.1351,3.58531,0.42101,2.76523,0.20912,0.0135,0.32988,0.60372,0.7822,0.61812,0.43163,0.02871,0.01664,0.11081,1.90343,61.2484,3.17217,0.85771,0.54273,0.14523,0.20218,0.17725,0.52863,0.02121,9.77148,5.11667,0.12355,2.24133,2.5759,0.76548,0.0039,1.7586,6.76213,2.74871,0.23093,2.461,66.701,54.2649,15.264,0.70759,0.02026,6.11672,0.08898,55.8723,1.49617,0.42178,0.12318,1.30639,0.52385,1.53152,1.06696,0.95607,0.0792,3.10733,0.0418,0.75595,3.25977
Barnesiella,0.00072,0.00122,0.00114,0.78522,1.17848,0,0,0.00348,0,0,0.02184,0.02016,0.00037,0.03697,0,0.00696,0.00104,0,0,0.01319,1.03725,0,0.00153,0,0.01589,0.00296,2.38689,0.05813,0,0.00127,0,0.58572,0.40393,0.00097,0,0,0.00146,0.00063,0,0.00095,0,0.05071,0,0.00575,0,0.00718,0.00096,0.00066,0.13044,0.00061,0,0.29496,0.00911,0.00049,0,0,0.03846,0,0,0,0.00069,0.00436,0.00463,0,0.34253,0.01939,2.40099,0.0127,0.00092,0.00389,0,0.00109,0.00073,0.00092,0,0.00082,0,0.00097,0,0
Bifidobacterium,0.22313,0.74318,0.90453,3.62929,0.27079,0.13872,0.16945,1.55602,0.08857,0.20918,0.28826,0.23901,0.16165,0.25522,0.20998,1.18536,0.10062,0.18942,0.70444,0.0923,0.82356,0.22322,13.3826,0.38242,0.67893,0.34293,0.3365,0.239,2.80281,0.4195,0.10555,0.20023,0.38181,0.32299,0.11454,0.21028,0.19537,0.30942,1.00649,2.94457,0.3286,0.08956,0.03485,0.14419,0.0835,0.48159,0.05978,0.06552,1.36966,0.11259,0.09824,0.13753,0.05354,0.08131,0.93249,0.05868,0.13157,0.42796,0.44134,0.51311,1.2936,0.52375,0.71145,0.06691,2.96897,0.17232,0.11811,0.55752,0.12287,0.18412,0.42587,0.92631,0.38488,0.63391,0.19597,0.46624,0.41348,0.80392,0.25629,12.7896
Bilophila,0,0.00367,0.03997,0.00684,0,0,0,0.01568,0.02763,0,0.05129,0.0144,0.00449,0.00358,0,0.00268,0.00104,0.00251,0.00347,0.00659,0.02541,0.00116,0,0.03365,0.00433,0.00099,0.03138,0.00081,0,0.02352,0,0.02246,0.05005,0.01164,0.00156,0,0,0.00254,0.00111,0.00048,0.01894,0,0.00083,0.0047,0,0.00877,0.00096,0.04379,0.01141,0.00183,0.01334,0.00465,0.01253,0,0.01287,0,0.03643,0,0,0,0,0.05456,0.03862,0.00552,0,0.00701,0.03268,0.02093,0.00092,0.01037,0.00058,0.04921,0,0.00553,0,0,0.04855,0.00778,0,0
Blautia,0.23242,0.60628,0.66355,2.7607,0.46049,0.48402,0.11975,4.30389,0.20548,0.42855,0.41648,0.30669,0.11114,0.23137,0.33769,0.39673,0.10269,0.25841,0.29533,0.17273,0.59833,0.18847,0.6953,0.97143,0.59803,0.35578,0.49168,0.18651,0.56351,0.13348,0.43801,0.31812,0.52034,0.25704,0.10643,0.00393,0.20704,0.22129,0.51157,0.12117,0.17934,0.80493,0.0639,0.24815,0.22119,0.42338,0.05785,0.31013,0.95224,0.21545,0.4245,0.31188,1.06848,0.05307,0.38432,0.442,0.66795,0.07223,0.24405,0.34632,1.80681,0.2215,0.56391,0.06876,0.65661,0.09847,0.66815,0.29669,0.15496,0.28007,0.18474,0.22857,0.10602,0.16769,0.07559,0.17311,0.34926,2.04139,0.08465,0.72411
Butyricicoccus,0.18951,0.04767,0.14733,0.79082,0.07588,0.11939,0.02787,0.17773,0.04889,0.02036,0.05841,0.17854,0.07671,0.10734,0.02828,0.25163,0.01867,0.0439,0.05472,0.02769,0.14438,0.03358,1.31385,0.21563,0.07367,0.14132,0.09066,0.05652,0.07121,0.06483,0.08338,0.07111,0.11524,0.02813,0.03714,0.00716,0.02479,0.0317,0.05105,0.19672,0.05235,0.16724,0.01079,0.06165,0.03223,0.0909,0.00482,0.16033,0.2723,0.0426,0.11522,0.0237,0.06721,0.02921,0.05233,0.06248,0.1174,0.05159,0.07527,0.03565,0.15733,1.24499,0.18848,0.01044,0.20455,0.02599,0.11369,0.07698,0.03393,0.08687,0.01554,0.01969,0.04575,0.12899,0.0308,0.08655,0.11747,0.08166,0.02939,0.05629
Butyricimonas,0.00143,0,0.00685,0.04978,0,0.00076,0,0,0.23028,0,0.21323,0.0432,0.00449,0.00119,0,0.00054,0.00104,0.00502,0.20021,0.06593,0.0231,0.00145,0,0,0.03034,0.00198,0.0802,0.00081,0,0.04068,0,0.20397,0.15249,0.10573,0.00593,0,0.00146,0.00063,0,0,0,0.0464,0,0.00104,0,0.00877,0,0.14782,0.03261,0,0,0.05967,0,0.00146,0.00172,0,0.02227,0.00098,0,0,0,0.3939,0.01777,0.00123,0,0.01582,0.77367,0.08221,0.00092,0.22172,0.00115,0,0,0.01751,0,0,0,0,0,0
Campylobacter,0,0.00122,0.00228,0.00187,0.00047,0.00038,0.68158,0,0.00071,0.00771,0,0.00288,0,0.00119,0.00171,0.00375,0,0.00627,0.00087,0,0.00578,0,0.00614,0.01628,0,0.00296,0,0,0.00123,0.00064,0,0.00187,0.00466,0,1.13826,0.00069,0.00146,0.00444,0.00222,0.00285,0,0.00324,0.00166,0.00157,0,0.00319,0.00193,0.00033,0.00652,0.01278,0.00243,0.00085,0.01709,0.01315,0.00343,0.00042,0.01417,0,0.00114,0.00255,0.00139,0.00546,0.00309,0,0.01664,0.00028,0,0,0.00183,0.00389,0,0,0.00073,0.00737,0.007,0.00082,0.00783,0,0.00118,0.00128
Catenibacterium,0.23957,0,1.15008,2.20819,0.84415,0.15578,0.00075,0.47395,0.12612,0.75435,0.52,0.21886,0.11001,0.13358,0.00086,0.121,0.29356,0.60462,0.00043,0.49314,2.67976,0,0.01228,0.00036,0.00578,0.20952,0.20051,0.1849,3.38719,0.01525,0.17309,0.18339,0.15482,0.00097,0.49344,0.00647,0.01677,0.22065,0,0,0.43888,0.30643,0.14108,0.34585,0.3208,0.65381,0.25936,0.09383,0.56906,2.11976,0.41964,0.62165,0.17314,0.55651,1.18641,0.10934,0.15383,0.02702,0.05588,0,0.00069,0.00436,0.0224,0.33702,0.78922,0.32868,0.74644,0.15395,0.47496,0.13744,0.00345,0.24935,0.03195,1.22083,0.13438,0.0098,0.00783,0.29454,0.19633,0
Clostridium_IV,0,0.02322,0.16446,0.08337,0.00047,0,0,0.09758,0.10274,0.00247,0.27686,0.2275,0.02732,0.01789,0.52367,0.00696,0.0083,0.03512,0.043,0.19383,0.36731,0.01361,0,0.0322,0,0.03657,0.92581,0.0218,0,0.02924,0.00317,1.58124,1.85784,0.03395,0.00312,0.00578,0.05686,0.49647,0.00111,0.00048,0,0.35931,0.0166,0.01358,0.00732,0.01196,0.00386,0.0698,0.16306,0.01339,0.00121,0.00042,0.54791,0.00049,0.02402,0,0.06477,0.10613,0.00114,0,0.00035,3.40328,0.73076,0.00307,0.01557,0.03672,0.37271,0.44317,0.00092,1.03468,0.0023,0.04375,0.0029,0.02303,0.0112,0.31845,0.27095,0.04374,0.01176,0
Clostridium_sensu_stricto,1.59477,0.15646,0.09137,0.2663,0.00901,0.56703,0.0369,0.05576,0.05739,0.13575,0.40793,0.64073,0.04341,0.43054,0.03685,0.68155,0.09025,0.46664,0.62583,0.27954,0.25527,0.26491,0.12433,0.09226,0.12278,0.57814,0.59629,0.18974,0.12891,0.4856,0.33247,1.11716,0.71823,0.01746,0.4975,0.00046,0.33461,0.26947,0.03329,0.43287,0.01225,0.64848,0.05892,0.19434,0.0249,0.21289,0.54186,0.17515,0.19404,0.79423,0.26683,0.02793,0.27566,0.52632,0.07978,0.01604,0.03036,0.00049,1.77105,0.02165,0.02079,0.06874,0.3507,0.02087,1.65253,0.03576,0.3785,0.02541,0.29066,0.14781,0.00576,0.05906,0.0777,0.34275,0.08259,1.95723,1.16838,0.45202,0.08347,0.29297
Clostridium_XI,0.66079,0.09412,0.09822,0.83997,0.02466,0.23727,0.00527,0.0575,0.02693,0.31161,0.25074,0.22462,0.05014,0.23256,0.01457,1.27423,0.18672,0.6109,1.51571,0.149,0.20907,0.185,0.08749,0.01737,0.27013,0.35973,0.46901,0.08074,0.73293,0.13284,0.40213,0.46969,0.31779,0.09021,0.46691,0,0.17861,0.04312,0.0921,0.96315,0.00223,0.24925,0.38589,0.128,0.17139,0.09488,0.76747,0.2298,0.22339,1.58297,0.11158,0.00085,0.1253,0.65875,0.01716,0.04011,0.1174,0,0.20185,0.07257,0.15317,0.431,0.39628,0.02271,0.45689,0.02379,0.46461,0.03288,0.35851,0.09724,0.00921,0.01969,0.09586,0.37684,0.19457,0.6173,0.47926,0.28093,0.49142,0.38252
Clostridium_XlVa,0.07509,0.23958,0.09708,0.2999,0.18353,0.10575,0.14008,0.21955,0.21753,0.23973,0.09118,0.08063,0.05014,0.15266,0.13113,0.28108,0.09025,0.06147,0.15374,0.0356,0.1132,0.06775,0.28549,0.161,0.16612,0.19963,0.10984,0.08316,0.19766,0.05466,0.14038,0.08234,0.11641,0.09021,0.1907,0.00092,0.06634,0.10842,0.24746,0.04752,0.12921,0.23198,0.04647,0.1071,0.19629,0.14272,0.14462,0.32067,0.18588,0.18867,0.26683,0.07871,0.18454,0.0521,0.13039,0.51208,0.04251,0.02604,0.12887,0.25974,0.36316,0.14294,0.14368,0.17312,0.15033,0.11016,0.44827,0.10762,0.03943,0.14781,0.07712,0.12577,0.02832,0.1981,0.06579,0.08492,0.14409,0.1186,0.08465,0.16887
Clostridium_XlVb,0.00501,0.03178,0.08566,0.09146,0.03177,0.02426,0.02109,0.04705,0.01134,0.02653,0.04606,0.05183,0.03068,0.02027,0.01114,0.03908,0.01763,0.11415,0.02215,0.01582,0.11089,0.00608,0,0.63424,0.06645,0.05534,0.0401,0.02099,0.01842,0.02225,0.019,0.04865,0.11524,0.00873,0.01717,0.00347,0.01166,0.02917,0.01665,0,0.01894,0.04963,0.00581,0.02508,0.01025,0.01754,0.00771,0.0191,0.06848,0.05051,0.21952,0.02412,0.28364,0.0297,0.1038,0.00675,0.03239,0.05208,0.04448,0.00891,0.02668,0.25205,0.03244,0.03438,0.06496,0.00784,0.01668,0.10388,0.02109,0.06613,0.01266,0.02187,0.01089,0.03962,0.0084,0.01878,0.04699,0.02333,0.01528,0.00384
Collinsella,0.05578,0.00367,0.33577,0.54256,0.06402,0.06368,0.02711,0.04008,0.02905,0.02561,0.03704,0,0.02058,0.04413,0.01114,0.48721,0.00104,0,0.01998,0.02373,0.00116,0.00897,0.00153,0.00036,0.13723,0.0504,0.02615,0.01534,0.10804,0.05593,0.03694,0.15158,0.21302,0.21824,0.04057,0.00023,0.02114,0.03297,0,0.01853,0.05681,0,0,0.03657,0.03809,0.11003,0.03085,0.00132,0.02283,0.2337,0,0,0.10708,0,0.17586,0.00084,0.03239,0.00147,0.1243,0.07003,0.1996,0.01637,0.09115,0,0.84183,0,0.02212,0.04559,0.02292,0,0.01784,0.01312,0.06971,0.16124,0.0014,0.01306,0.17698,0.0175,0.0047,2.52031
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus,0.05221,0.2518,0.79032,1.33897,0.19112,0.18686,0.11749,1.19185,0.15305,0.11138,0.08833,1.38801,0.51901,0.11449,0.14742,0.26823,0.10477,0.46915,0.71182,0.05406,0.51516,0.19687,0.01228,0.14834,0.73237,0.1937,0.62593,0.11062,0.09208,0.38327,0.16993,1.25564,1.73213,0.18138,0.32709,0.1123,0.18954,0.16105,0.09987,0.11404,0.04121,0.85456,0.039,0.18128,0.17725,0.32133,0.01157,0.2805,0.55602,0.0992,0.44269,0.1041,0.31439,0.1076,0.35515,0.02449,1.24077,1.90102,0.15396,0.07512,0.2003,0.73761,1.62374,0.01289,0.90089,0.09379,0.01464,0.09566,0.17055,0.30729,0.03971,1.77935,0.05156,1.1508,0.13298,0.10043,0.04542,0.55993,0.09053,0.05373
