Genus,Tandon_1,Tandon_10,Tandon_11,Tandon_12,Tandon_13,Tandon_14,Tandon_15,Tandon_16,Tandon_17,Tandon_18,Tandon_19,Tandon_2,Tandon_20,Tandon_21,Tandon_22,Tandon_23,Tandon_24,Tandon_25,Tandon_26,Tandon_27,Tandon_28,Tandon_29,Tandon_3,Tandon_30,Tandon_31,Tandon_32,Tandon_33,Tandon_34,Tandon_35,Tandon_36,Tandon_37,Tandon_38,Tandon_39,Tandon_4,Tandon_40,Tandon_41,Tandon_42,Tandon_43,Tandon_44,Tandon_45,Tandon_46,Tandon_47,Tandon_48,Tandon_49,Tandon_5,Tandon_50,Tandon_51,Tandon_52,Tandon_53,Tandon_54,Tandon_55,Tandon_56,Tandon_57,Tandon_58,Tandon_59,Tandon_6,Tandon_60,Tandon_61,Tandon_62,Tandon_63,Tandon_64,Tandon_65,Tandon_66,Tandon_67,Tandon_68,Tandon_69,Tandon_7,Tandon_70,Tandon_71,Tandon_72,Tandon_73,Tandon_74,Tandon_75,Tandon_76,Tandon_77,Tandon_78,Tandon_79,Tandon_8,Tandon_80,Tandon_9
Neisseria,0.00286,0.00367,0.01371,0,0.0019,0.0019,0.01356,0.01742,0.00213,0.00524,0.00142,0.01152,0.00374,0.01312,0.00171,0.03212,0,0.0276,0.00217,0.00132,0.03696,0,0.05065,0.00109,0.00433,0.00889,0.00872,0.00081,0.00491,0.00572,0,0.00561,0.00116,0.01358,0.00437,0.00139,0.00292,0.00444,0,0.03184,0,0.02266,0.0083,0.01724,0.05859,0.01754,0.03375,0.00395,0.00489,0.01522,0.00364,0,0.01139,0.01509,0.01716,0,0.33802,0.00098,0.02167,0.02165,0.0104,0.02182,0.00463,0,0.01127,0.00096,0,0.00149,0.011,0,0.00518,0,0.0029,0.02211,0.0238,0.0049,0.0047,0.01458,0.00705,0.00128
Odoribacter,0,0.08923,0.00343,0.22586,0,0.00076,0,0.0122,0.09353,0.22214,0.10638,0.01728,0.12199,0.00596,0.03,0.01606,0.00622,0,0,0.149,0.33035,0.0194,0,0.00036,0.00722,0.0168,0.14471,0.01615,0,0.00127,0.0095,0.18339,0.0908,0.03104,0,0.00647,0.00219,0.03487,0.94102,0,0,0.04316,0,0,0.04541,0.00877,0.00096,0.13959,0.09783,0,0.05215,0.0182,0.07404,0.00049,0.01973,0.09372,0.02227,0.12382,0.02281,1.02878,0.6338,0.36662,0.02704,0,0.02684,0.00358,0.1804,0.20178,0.00092,0.00778,0.0023,0.07984,0,0.02396,0.0168,0,0.08301,0.00583,0.00823,0
Olsenella,0.0093,0.01222,0.01256,0.13937,0,0,0.00075,0.01917,0,0.00031,0.03324,0.07775,0.00187,0,0,0.00482,0,0,0.01173,0.00132,0.00116,0.09207,0.00921,0,0.00289,0,0.01046,0.00484,0.00123,0.00318,0,0.00187,0.0163,0.00097,0.00094,0,0.00219,0.00634,0.00555,0,0,0,0,0.04545,0,0.10126,0,0.00099,0.04402,0,0,0.00085,0.00683,0.00633,0.01544,0,0.06072,0.00098,0.00114,0.00255,0.01663,0.00109,0.02935,0.00061,0.23623,0.00371,0.00034,0.01794,0.04034,0.0013,0,0.01312,0.00581,0.40172,0.007,0.00163,0.00313,0.01069,0,0
Oribacterium,0.00143,0.00978,0.03426,0.00622,0.00095,0.00152,0.00753,0.00348,0.00213,0.00093,0.0019,0.01152,0.00486,0.00239,0.00429,0.0439,0.00622,0.00502,0.00174,0.17669,0.00809,0.00174,0.00614,0.00579,0.00433,0.00692,0.01395,0.00242,0.00368,0.01081,0.00739,0.00561,0.00466,0.00097,0.05524,0.00046,0.00146,0.00761,0.00555,0.00475,0,0.00432,0.00996,0.01776,0.00732,0.00159,0.10702,0.00066,0.00163,0.00365,0.01092,0.00423,0.00342,0.24782,0.00858,0.00338,0.0081,0.00147,0.00456,0.00509,0.00243,0.00655,0.00309,0.00552,0.00913,0.00426,0.00647,0.00598,0.2494,0.0013,0.00345,0.00437,0.00073,0.16769,0.0126,0.00163,0,0.00486,0,0.00256
Oscillibacter,0.00215,0.00367,0.19073,0.08089,0.06165,0.03184,0.01054,0.05924,0.00921,0.02653,0.07646,0.03744,0.01609,0.0489,0.01286,0.09423,0.0166,0.0276,0.03865,0.03428,0.11089,0.02635,0,0.03365,0.02167,0.05633,0.32081,0.0218,0.00368,0.0375,0.02322,0.13286,0.22466,0.00485,0.03277,0.00231,0.02114,0.03678,0.11763,0.00095,0.0078,0.30428,0.01494,0.05068,0.01318,0.05023,0.00868,0.01975,0.22991,0.02252,0.06549,0.01185,0.11277,0.00438,0.37059,0.00422,0.06477,0.01867,0.00342,0.08149,0.0752,0.22587,0.06721,0.00798,0.03651,0.00605,0.0531,0.35424,0.00734,0.02334,0.01439,0.02515,0.0138,0.14051,0.04339,0.07839,0.19734,0.03013,0.04115,0
Parabacteroides,0.00858,0.80307,0.52079,1.71603,0.7142,0.03563,0.03013,0.03311,0.52859,0.70159,0.64015,0.33116,0.14781,0.09303,0.23398,0.11029,0,0.12419,0.40911,0.17801,2.18654,0.10625,0.02916,1.76233,0.12856,0.1097,1.04089,0.1526,0,0.32162,0.12877,1.58124,1.18036,0.13967,0.03496,0.01618,0.11008,0.23523,0.72019,0.05749,0.28962,1.38759,0.00249,0.01515,0.14648,0.04066,0.00386,0.75953,0.47286,0.08399,0.22801,0.59161,0.70739,0,0.31826,0.00464,0.74082,0.29088,0.30791,0.904,0.8043,10.4422,1.44067,0.01289,0.85257,0.02407,1.44625,0.37965,0.00092,0.07391,0.11337,0.40246,0.04938,0.21837,0.10499,0.12411,0.42287,0.01653,0.09993,0
Paraprevotella,0.01645,0.66495,0,0.0112,0.00047,0,0.03464,0.00348,0.14455,0.36591,0.25597,0.00288,0.02208,0.0155,0,0.02677,0.06743,0.01882,0,0.13449,0.13745,0,0.00153,0,0.00144,0.03953,0.31558,0.01938,0,0.08898,0.02744,0.00187,0,0.05626,0.00437,0,0.00729,0.00697,0.66582,0,0.01782,0.11761,0,0.00418,0.04102,0.00319,0,0.54454,0.01141,0,0,0.22005,0.02392,0.00097,0.06348,0,0.47566,0,0.09237,0.57932,0.7187,0.61541,0.03785,0,0.06443,0.03617,0.47142,0.01196,0,0.18023,0.00115,0.12468,0.00436,0.00369,0.0014,0.00163,0,0.00292,0.00118,0
Parasutterella,0,0.07456,0,0.00996,0.00047,0,0,0,0.21469,0.01018,0.00237,0.00144,0,0.00119,0.01457,0.00535,0,0,0.00955,0.01319,0,0.011,0.87488,0,0.00144,0,0.02441,0.00242,0,0.00191,0,0.00749,0.00116,0.00776,0.00343,0.00462,0.03062,0.01902,0.78011,0.00048,0.01559,0.00863,0,0.02037,0,0.01914,0,0.01942,0,0.01035,0,0.00042,0.01367,0,0.006,0,0.00202,0.03439,0.00684,0.66972,0.44044,0.02728,0.00541,0,0.37904,0.00468,0.00715,0.00149,0,0.00259,0,0,0.00218,0.00737,0.014,0.00082,0.00313,0,0.00705,0
Peptostreptococcus,0.00072,0,0.00343,0.01556,0.0019,0,0.00075,0.00348,0.00071,0.00309,0,0,0,0.00239,0.00086,0.00482,0,0,0.00217,0,0,0,0.01228,0.00217,0.00289,0.00198,0,0.00161,0.00737,0.00064,0.00211,0.01123,0.00116,0,0,0,0.00073,0.00254,0.00222,0.00285,0,0.00108,0.00332,0,0.00146,0.0008,0.00096,0,0.00326,0.00183,0.02304,0.00042,0,0.00487,0.00257,0.00042,0.01214,0,0.00114,0,0.00069,0,0.00386,0.00184,0.05154,0.00165,0.00068,0,0.00367,0,0,0.00109,0.00871,0.00092,0,0.00245,0.00157,0.00194,0,0.01663
Prevotella,77.1976,41.069,46.5935,10.6066,75.1257,75.3344,78.728,39.8815,75.3747,64.6727,80.9632,48.6739,50.3757,72.9546,81.2164,56.774,88.6238,58.37,55.2179,77.9206,28.7958,80.4962,1.78659,0.06802,77.4828,68.1201,55.5226,66.2953,73.2045,72.017,73.7762,34.6189,25.0169,89.4983,51.2565,91.5825,77.8878,65.73,0.33291,53.2209,84.1335,64.4073,59.8579,63.498,80.4063,55.756,83.2255,59.2047,45.238,60.579,65.28,47.3568,69.1313,73.3973,46.0856,82.9621,59.5446,80.4861,68.5738,0.66208,0.40336,35.6542,55.4228,77.8081,19.7659,77.4785,19.9285,55.9623,74.7355,54.5582,72.5427,72.9959,82.3617,53.0161,84.9618,67.1713,41.0844,65.4227,78.3621,0.27122
Pseudoflavonifractor,0,0,0.00228,0.00187,0,0.00038,0,0.00523,0,0,0.00142,0.00864,0.00075,0,0,0.00161,0,0.00502,0.0013,0.01055,0.00231,0.00203,0,0,0,0.00692,0.00349,0,0,0.00127,0,0.01123,0.00815,0,0.00406,0.00023,0.00073,0.00127,0,0,0.0078,0.01618,0,0.00784,0.00439,0.00558,0,0.00033,0.00326,0.00061,0.00485,0.00042,0.0057,0.00146,0.02745,0,0.00202,0.00393,0,0,0,0.00218,0.00077,0,0.00107,0.0011,0.00102,0.00374,0.00092,0.00259,0,0.00219,0,0,0.0028,0.00163,0,0.00292,0,0
Pseudomonas,0.00215,0.00244,0,0.00436,0.00095,0.00227,0.00603,0.00871,0.00425,0.00123,0.00285,0.00144,0.00374,0,0.00514,0.00107,0,0,0,0,0.0104,0,0.2333,0.00036,0,0.00395,0,0,0,0.00191,0,0,0,0.01164,0,0,0,0.00254,0,0.00285,0.00223,0.00216,0.00166,0.00522,0.00586,0.0008,0.00482,0.00033,0,0,0,0.00042,0,0.00146,0.00086,0.00042,0.02631,0.00049,0.02167,0.00637,0.00347,0.00873,0.00077,0,0.00215,0,0.00068,0.00149,0.00458,0,0.00115,0.00109,0.00145,0.00276,0,0,0,0.00486,0,0
Ralstonia,0,0,0.04226,0.06844,0.00996,0.00114,0,0.00174,0,0,0,0,0.00112,0.0155,0,0.02409,0,0,0,0.00132,0.00809,0.00087,0.39293,0.00398,0,0.02273,0,0,0,0.00064,0,0,0.00116,0.00582,0.00218,0.00046,0.01604,0.00063,0,0,0,0.00108,0,0.01254,0.00439,0.02153,0.00193,0.02173,0.02609,0,0,0,0,0,0.01115,0.00042,0.07084,0.00147,0,0.00382,0.00797,0.02837,0.00386,0.00061,0.00591,0.00014,0.00647,0.04185,0.00367,0,0.00288,0,0.00581,0.09122,0.0154,0.04001,0.06578,0.00389,0.0047,0.01279
Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0.85102,8.22017,2.64163,8.46752,4.10075,3.11371,1.32399,7.75571,1.22156,2.84432,0.87949,2.16984,1.1918,2.99948,2.11783,6.11739,1.92836,5.50057,4.8607,1.18935,1.52584,1.04283,4.41276,7.80257,5.33751,4.04601,2.18987,2.34958,3.67569,0.86124,2.64919,5.96755,6.83189,1.92535,3.47813,0.12547,1.28159,2.39863,4.55529,2.4238,2.00503,5.53847,1.28297,2.95119,3.13036,4.89882,1.90326,8.33407,5.01068,4.0965,1.92478,0.87895,1.70069,2.53422,2.45861,1.23819,0.91894,1.79194,1.64105,4.69697,6.72927,0.29679,2.3939,1.08351,6.64125,1.11643,2.83463,2.96395,3.1615,1.37569,0.32228,3.35419,1.64844,7.14529,1.56639,1.31054,0.94285,3.7513,1.33437,6.24576
Rothia,0.00501,0.00122,0.04111,0.00062,0.00047,0.01213,0.00753,0.00697,0.00071,0.00401,0.0019,0.00144,0.00075,0.01431,0.00086,0.0182,0,0.01129,0.00955,0.00132,0.00578,0,0.00921,0.00253,0.00578,0.01384,0.00872,0.00323,0.00859,0.0089,0.01583,0.04117,0.01048,0.00388,0.00624,0.00739,0.00073,0.00317,0.00111,0.01996,0,0.00216,0.00083,0.00993,0.00146,0.00478,0.00482,0.00198,0.00326,0.02617,0.00243,0,0.00228,0.01363,0.01458,0,0.10728,0.00049,0.00456,0.01401,0.00693,0.00655,0.0139,0.00246,0.05852,0.00124,0.00102,0.00075,0.00275,0,0.00345,0.00109,0.00944,0.04146,0.0168,0.0196,0.02193,0.00292,0.0047,0.01791
Ruminococcus,0.00143,1.39101,0.12677,0.90841,0.20535,0.24561,0.04142,1.87141,0.41451,0.58929,0.69999,0.91574,0.08943,0.18009,0.29055,0.24735,0.01037,1.03489,1.19042,0.47468,3.31967,0.21656,0.00921,0.75218,0.08089,0.26782,1.13852,0.13565,0,0.0286,0.43907,0.88138,0.87654,0.12803,0.12609,0.00693,0.02552,0.25489,1.58464,0.00523,0.00557,1.86882,0.02656,0.11807,0.02783,0.05821,0.00193,0.39442,0.65548,0.00061,0.0376,0.15108,1.58906,0.05989,0.18272,0.03166,1.41484,0.16558,0.83478,1.40438,3.31422,3.30726,0.22556,0.09577,1.25738,0.09297,0.78524,1.36987,0.12562,0.01426,0.07309,0.25701,0.08279,0.35289,0.09799,0.03756,2.35712,0.84572,0.1352,0.00384
Ruminococcus2,0.00715,0.08312,0.06624,0.71242,0.01518,0.03298,0.03163,0.11152,0.03401,0.01234,0.07741,0.09503,0.11413,0.02624,0.01543,0.09476,0.07469,0.14802,0.11205,0.02505,0.22639,0.08049,0.58632,0.19863,0.08667,0.02767,0.06102,0.01776,0.05525,0.00381,0.04961,0.02433,0.05122,0.0097,0.02216,0.00462,0.00802,0.03678,0.23747,0,0.01894,0.07013,0.00664,0.06008,0.04248,0.11641,0.00675,0.12478,0.22991,0.04504,0.59308,0.02243,0.1777,0.04918,0.0712,0.03208,0.02024,0.06191,0.00114,0.21263,0.44841,0.23132,0.11973,0.00982,0.06174,0.00399,0.11607,0.07025,0.06877,0.07002,0.1128,0.0164,0.03268,0.09582,0.0126,0.00653,0.1206,0.05638,0.01528,0.00896
Saccharibacteria_genera_incertae_sedis,0.01001,0.00611,0.00343,0.00809,0.0019,0.00227,0.00904,0.00871,0.00071,0.00339,0.00617,0.0144,0.00112,0.00358,0.00086,0.02463,0,0.00376,0.00869,0.00264,0.01386,0.00058,0.01995,0.02858,0.00578,0.00791,0.00523,0.00161,0.01228,0.00763,0.00422,0.00749,0.00349,0.00388,0.00843,0.00208,0.00219,0.00761,0.01221,0.0095,0,0.01726,0.00083,0.00731,0.00146,0.00319,0.00289,0.00395,0.01467,0.014,0.00728,0.00169,0.00456,0.00682,0.02145,0.00549,0.04453,0.00049,0.00114,0.01146,0.01005,0.00436,0.00463,0.00123,0.0247,0.0022,0.00374,0.0127,0.02109,0.00519,0.00115,0.00219,0.00726,0.0129,0.0126,0.00245,0.0047,0.01458,0.00235,0.02687
Slackia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solobacterium,0,0,0.00114,0.00062,0,0.00038,0.00151,0,0.00071,0.00154,0.00047,0.00144,0.00037,0.00358,0,0.00161,0,0.00125,0.00304,0,0.00116,0.00058,0.00614,0,0,0.00099,0.00174,0,0.00246,0,0.00106,0,0.01164,0,0,0,0.00073,0,0.00111,0.00618,0,0.00432,0,0,0,0.0008,0.00193,0,0,0.00061,0.00243,0,0,0,0.00515,0.00084,0.01417,0,0,0.00382,0.00069,0.00327,0.00154,0,0.00107,0.00028,0.0017,0,0,0,0,0,0,0.00276,0,0,0.00157,0,0,0.00128
Streptococcus,0.87963,0.6515,0.2524,0.17608,0.046,0.58181,0.11824,0.37289,0.00567,0.04597,0.03277,0.09935,0.00674,0.45439,0.07542,0.58518,0.03527,0.22454,1.25339,0.01187,0.18019,0.00087,16.7915,0.13097,0.05923,0.63843,0.05754,0.00807,1.03985,0.14238,0.35674,0.14222,0.0908,0.02328,0.26248,2.64114,0.08019,0.0837,0.24746,0.40389,0.03008,0.20177,0.34024,0.19905,0.65625,0.29741,0.03567,0.54356,0.97507,0.41263,1.88597,0.01016,0.16745,0.17138,0.25135,0.00253,1.16183,0.01278,0.58389,0.19353,0.23356,0.05019,3.14166,0.16022,2.95125,0.91647,0.17257,0.07847,0.21364,0.03241,1.03763,0.0853,0.15686,1.54331,0.22537,0.57239,0.36179,0.19053,0.09053,1.5301
Streptophyta,0.01931,0.02567,0.44998,0.02738,0,0.0019,0,0,0.00142,0.00309,0.00095,0.00576,0,0.00835,0.018,0.00428,0,0.00376,0.01042,0,0.00462,0.00434,0.0706,0.00072,0,0.03064,0.00349,0,0.00614,0.10487,0.00106,0.17216,0.01164,0,0.02247,0.0104,0.01895,0.1192,0.00111,0.40199,0.00111,0.00432,0.00498,0.01202,0,0.0295,0.00096,0.00263,0.04402,0.00791,0.00243,0.00169,0.02278,0.15824,0.01287,0.00042,0.02834,0.00786,0.01254,0.00255,0.00728,0.03819,0.0842,0.00491,0.09664,0.00193,0.01702,0.00448,0.00183,0.0013,0.00058,0.00109,0.01598,0.02211,0.0014,0.06532,0.04542,0.01361,0.00588,0.0064
Succinivibrio,0.00143,0,20.5198,1.57106,0.00142,0.00265,0.01356,0.00348,0.00425,0.00463,0.00997,21.2204,40.1771,0.25165,0.01114,0.24467,0.00207,11.8918,0.01042,0,37.1008,0.00318,0.08749,0.00724,0.00144,1.08118,0.00349,0.00161,0.00368,0.09598,0.00211,14.409,13.7231,0.00679,24.8488,0.00139,0.02624,9.50385,0.01554,0.01045,0.00446,0.01403,21.2544,14.465,0,18.951,0.00096,0.00033,1.24737,0.00122,0.00243,38.7764,0.00114,3.55228,18.2517,0.00042,1.6132,0.00295,0.02281,0.01019,0.00243,0.02837,0.03785,0.00737,0.00483,0.00193,0,0.18609,2.9442,23.917,0.00173,0.04046,0.0138,0.72973,0.04479,0.01551,18.3433,0.00194,0.01411,0.00384
Sutterella,1.41169,1.3519,1.5064,7.31583,0.44626,0.42792,0.90827,0.2091,0,1.30075,0.6183,0.55146,0.14182,0.46871,0.30255,0.33355,0.31119,0.1706,0.46036,0.62236,0.07623,0.63172,0.10744,0.00072,0.62403,0.54553,1.11063,0.45861,1.46954,3.46403,1.01746,0.23017,0.18043,1.22602,0.47628,0.42124,0.02114,0.64674,0.00333,2.07313,2.31025,0.41002,0.47966,0.68177,0.28125,1.21195,0.32396,1.28399,2.02025,1.15817,1.14492,0.36351,0.20276,0.1412,1.54757,0.00127,0.85214,0.15723,2.30704,0.01019,0.0045,0.16367,1.03512,0.31492,1.68635,0.64499,1.18858,0.56648,0.08619,0.18541,0.88052,0.11155,1.17715,2.87562,1.10305,0.01225,0.03915,0.31107,1.23679,8.92727
Turicibacter,0.01287,0.04034,0.1656,0.28372,0.00711,0.17663,0.00075,0.00174,0.01417,0.12711,0,0.02448,0.08083,0.34944,0.00086,1.16341,0,0.03763,0.27578,0.03296,0.00231,0.00608,0.30544,0.00181,1.50664,0.48129,0.08892,0.02907,0.16451,0.40424,0.08127,0.09731,0.07217,0.00291,0.47066,0.00023,0.36305,0.10716,0.03107,0.80492,0,0.11653,0.03817,0.10658,0.26514,0.0287,0.05206,0.0586,0.25274,0.15459,0.0097,0.00042,0.12758,0.09543,0.02831,0,0.0506,0,0.01254,0.02165,0.02287,0.16149,0.0085,0.06937,0.29958,0.00055,0.00885,0.03214,0.24665,0.00519,0.00115,0.00109,0.0443,0.52519,0.06719,2.54595,1.87474,0.02041,0.06701,0.12154
Veillonella,0.08725,0.07823,0.0868,0.01493,0.01186,0.02047,0.01582,0.04705,0.00567,0.01759,0.01187,0.0288,0.00374,0.02505,0,0.06318,0.00311,0.04014,0.10597,0.01055,0.04505,0,2.72593,0.09769,0.02745,0.02767,0.00697,0.00323,0.21239,0.01271,0.03061,0.04678,0.0291,0.0097,0.02622,0.0439,0.01531,0.00571,0.05881,0.13067,0.00334,0.02697,0.02407,0.06217,0.02637,0.07335,0.02314,0.00296,0.11088,0.1765,0.0279,0.00042,0.02506,0.06329,0.08493,0.00338,0.17205,0.00049,0.01711,0.06239,0.05856,0.03492,0.03862,0.00859,1.66971,0.02173,0.00034,0.00598,0.04126,0.00259,0.0328,0.00219,0.00508,0.15019,0.04479,0.03103,0.02976,0.02722,0.00118,2.11092
Weissella,0.00143,0,0,0.00124,0,0.00038,0.00075,0.00174,0.00142,0.02005,0.00047,0,0,0,0,0.00107,0,0,0.00521,0,0,0,0.03837,0.00253,0,0,0,0.00323,0.00246,0.00127,0.00633,0,0,0,0.33396,0.80898,0.00219,0.0019,0.00666,0.00143,0,0,0,0.00104,0.00586,0.00239,0.00096,0,0.05707,0.03895,0,0.00254,0.04443,0,0,0,0,0.00049,0.00684,0.00764,0.01074,0,0.00077,0.00184,0.02523,0,0,0,0,0.0013,0.0023,0,0,0.04238,0.0056,0.0049,0.01253,0.00097,0.00118,0